id,ID,X,Y,ELEVATION,NAME,FNAME,STATION_TYP,geometry
myGeographyPortal.601,P1NSTR01,13.8942,50.1456,482.0,Nové Strašecí,Nové Strašecí,MSS,POINT (13.8942 50.1456)
myGeographyPortal.603,P1PCHO01,14.5,50.0294,297.0,Praha,"Praha, Chodov",MSS,POINT (14.5 50.0294)
myGeographyPortal.610,P1PODL01,13.9806,49.6897,510.0,Podlesí,Podlesí,MSS,POINT (13.9806 49.6897)
myGeographyPortal.614,P1PSUC01,14.3906,50.1436,268.0,Praha,"Praha, Suchdol",MSS,POINT (14.3906 50.1436)
myGeographyPortal.616,P1PZKO01,14.3178,50.0072,330.0,Praha,"Praha, Zadní Kopanina",MSS,POINT (14.3178 50.0072)
myGeographyPortal.617,P1RPET01,13.9369,49.8272,360.0,Rpety,Rpety,MSS,POINT (13.9369 49.8272)
myGeographyPortal.619,P1UVAL01,14.7111,50.0772,260.0,Úvaly,Úvaly,MSS,POINT (14.7111 50.0772)
myGeographyPortal.621,P1ZBEC01,13.935,50.0614,262.0,Zbečno,Zbečno,MSS,POINT (13.935 50.0614)
myGeographyPortal.622,P1ZDIC01,13.9714,49.9108,305.0,Zdice,Zdice,MSS,POINT (13.9714 49.9108)
myGeographyPortal.624,P2BAKO01,14.9394,50.4806,220.0,Bakov nad Jizerou,Bakov nad Jizerou,MSS,POINT (14.9394 50.4806)
myGeographyPortal.625,P2BAST01,14.4622,50.205,230.0,Bašť,"Bašť, Baštěk",MSS,POINT (14.4622 50.205)
myGeographyPortal.626,P2BENE01,15.5499,50.6713,780.0,Benecko,Benecko,MSS,POINT (15.5499 50.6713)
myGeographyPortal.630,P2BROD01,14.8661,50.3347,220.0,Brodce,Brodce,MSS,POINT (14.8661 50.3347)
myGeographyPortal.632,P2CHOT01,14.810102,50.337419,260.0,Chotětov,Chotětov,MSS,POINT (14.810102 50.337419)
myGeographyPortal.639,P2JILE01,15.5125,50.6014,462.0,Jilemnice,Jilemnice,MSS,POINT (15.5125 50.6014)
myGeographyPortal.640,P2JIVI01,14.9492,50.5539,308.0,Jivina,Jivina,MSS,POINT (14.9492 50.5539)
myGeographyPortal.643,P2KOSA01,14.7046,50.3255,210.0,Kropáčova Vrutice,"Kropáčova Vrutice, Střížovice",MSS,POINT (14.7046 50.3255)
myGeographyPortal.646,P2MLBO01,14.91405,50.42267,221.0,Mladá Boleslav,Mladá Boleslav,MSS,POINT (14.91405 50.42267)
myGeographyPortal.649,P2NPAK01,15.5136,50.49,450.0,Nová Paka,Nová Paka,MSS,POINT (15.5136 50.49)
myGeographyPortal.651,P2ROKY01,15.4229,50.7319,525.0,Rokytnice nad Jizerou,"Rokytnice nad Jizerou, Vilémov",MSS,POINT (15.4229 50.7319)
myGeographyPortal.655,P2SMRZ01,15.2511,50.7294,550.0,Smržovka,Smržovka,MSS,POINT (15.2511 50.7294)
myGeographyPortal.659,P2VSEL01,14.950609,50.648954,392.0,Všelibice,Všelibice,MSS,POINT (14.950609 50.648954)
myGeographyPortal.661,P2ZBRO01,15.2517,50.6408,290.0,Železný Brod,Železný Brod,MSS,POINT (15.2517 50.6408)
myGeographyPortal.662,P3BENS01,14.69668,49.78862,343.0,Benešov,Benešov,MSS,POINT (14.69668 49.78862)
myGeographyPortal.663,P3BOHD01,15.2239,49.7786,460.0,Bohdaneč,Bohdaneč,MSS,POINT (15.2239 49.7786)
myGeographyPortal.664,P3BOZE01,15.1528,49.3608,611.0,Božejov,Božejov,MSS,POINT (15.1528 49.3608)
myGeographyPortal.665,P3DCHV01,15.0656,49.9833,290.0,Dolní Chvatliny,Dolní Chvatliny,MSS,POINT (15.0656 49.9833)
myGeographyPortal.666,P3DKRA01,15.1597,49.6625,420.0,Dolní Kralovice,"Dolní Kralovice, Střítež",MSS,POINT (15.1597 49.6625)
myGeographyPortal.670,P3HUMP01,15.35278,49.54694,515.0,Humpolec,Humpolec,MSS,POINT (15.35278 49.54694)
myGeographyPortal.672,P3JABL01,14.4519,49.7808,330.0,Jablonná,Jablonná,MSS,POINT (14.4519 49.7808)
myGeographyPortal.673,P3JILO01,14.4681,49.8994,350.0,Jílové u Prahy,Jílové u Prahy,MSS,POINT (14.4681 49.8994)
myGeographyPortal.675,P3KOST01,14.8356,50.0044,360.0,Kostelec n. Černými Lesy,Kostelec n. Černými Lesy,MSS,POINT (14.8356 50.0044)
myGeographyPortal.676,P3KOZM01,14.7942,49.8264,500.0,Kozmice,Kozmice,MSS,POINT (14.7942 49.8264)
myGeographyPortal.677,P3LEDS01,15.284048,49.698597,408.0,Ledeč nad Sázavou,Ledeč nad Sázavou,MSS,POINT (15.284048 49.698597)
myGeographyPortal.679,P3NACE01,14.9086,49.6044,502.0,Načeradec,Načeradec,MSS,POINT (14.9086 49.6044)
myGeographyPortal.681,P3NIZK01,15.8067,49.5325,526.0,Nížkov,Nížkov,MSS,POINT (15.8067 49.5325)
