id,ID,X,Y,ELEMENT,ELEVATION,NAME,FNAME,geometry
myGeographyElementsPortal.343,P2DESN01,15.3197,50.7894,F,772.0,Desná,"Desná, Souš",POINT (15.3197 50.7894)
myGeographyElementsPortal.344,B2KOBY01,16.8814,48.9394,F,175.0,Kobylí,Kobylí,POINT (16.8814 48.9394)
myGeographyElementsPortal.345,B1STRN01,17.7078,48.9028,F,383.0,Strání,Strání,POINT (17.7078 48.9028)
myGeographyElementsPortal.346,L1PLZB01,13.386411,49.788378,F,331.0,Plzeň,"Plzeň, Bolevec",POINT (13.386411 49.788378)
myGeographyElementsPortal.347,U1DOKS01,14.17,50.45889,F,158.0,Doksany,Doksany,POINT (14.17 50.45889)
myGeographyElementsPortal.348,H1LUCB01,15.697859,50.735318,F,1413.0,Luční bouda,Luční bouda,POINT (15.697859 50.735318)
myGeographyElementsPortal.349,B1STRZ01,17.3381,48.8992,F,176.0,Strážnice,Strážnice,POINT (17.3381 48.8992)
myGeographyElementsPortal.350,L2KRAU01,12.920958,50.071286,F,650.0,Krásné Údolí,Krásné Údolí,POINT (12.920958 50.071286)
myGeographyElementsPortal.351,B2HUBE01,15.4669,49.3931,F,570.0,Hubenov,Hubenov,POINT (15.4669 49.3931)
myGeographyElementsPortal.352,U1ZATE01,13.54319,50.34147,F,210.0,Žatec,Žatec,POINT (13.54319 50.34147)
myGeographyElementsPortal.353,P2HOLE01,15.3022,50.5303,F,432.0,Holenice,Holenice,POINT (15.3022 50.5303)
myGeographyElementsPortal.354,H3SECA01,15.6479,49.844725,F,529.0,Seč,Seč,POINT (15.6479 49.844725)
myGeographyElementsPortal.355,P3HAVL01,15.5797,49.6119,F,452.0,Havlíčkův Brod,Havlíčkův Brod,POINT (15.5797 49.6119)
myGeographyElementsPortal.356,P3HULI01,15.086667,49.721111,F,378.0,Hulice,Hulice,POINT (15.086667 49.721111)
myGeographyElementsPortal.357,P1PKLE01,14.416923,50.086634,F,190.7,Praha,"Praha, Klementinum",POINT (14.416923 50.086634)
myGeographyElementsPortal.358,P3PRIB01,15.7625,49.582778,F,532.5,Přibyslav,"Přibyslav, Hřiště",POINT (15.7625 49.582778)
myGeographyElementsPortal.359,O1CERV01,17.541944,49.777222,F,748.13,Červená,Červená,POINT (17.541944 49.777222)
myGeographyElementsPortal.360,O1CERV01,17.541944,49.777222,F,748.13,Červená,Červená,POINT (17.541944 49.777222)
myGeographyElementsPortal.361,U2LIBC01,15.02389,50.76972,F,397.72,Liberec,Liberec,POINT (15.02389 50.76972)
myGeographyElementsPortal.362,C1KOCE01,13.838611,49.467222,F,519.0,Kocelovice,Kocelovice,POINT (13.838611 49.467222)
myGeographyElementsPortal.363,B2LEDN01,16.798895,48.792616,F,177.0,Lednice,Lednice,POINT (16.798895 48.792616)
myGeographyElementsPortal.364,P2HARR01,15.42,50.781667,F,675.0,Harrachov,Harrachov,POINT (15.42 50.781667)
myGeographyElementsPortal.365,P2KORE01,15.34444,50.82001,F,858.0,Kořenov,"Kořenov, Jizerka",POINT (15.34444 50.82001)
myGeographyElementsPortal.366,B2POHO01,16.5283,48.9844,F,180.0,Pohořelice,Pohořelice,POINT (16.5283 48.9844)
myGeographyElementsPortal.367,B2BTUR01,16.688889,49.153056,F,241.0,Brno,"Brno, Tuřany",POINT (16.688889 49.153056)
myGeographyElementsPortal.368,H1LBOU01,15.544927,50.769883,F,1320.0,Labská bouda,Labská bouda,POINT (15.544927 50.769883)
